"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.567810125E0,-6.485087677E-1,1.464476456E-1,4.173508644E-1
1.577760125E0,-8.691532311E-1,2.899267695E-1,2.414467371E-1
1.587710125E0,-1.020716131E0,4.564186703E-1,4.520581824E-1
1.597660125E0,-1.076700443E0,5.865860230E-1,6.600664473E-1
1.607609125E0,-1.081452841E0,5.198839470E-1,8.462762922E-1
1.617559125E0,-9.554847389E-1,2.459423505E-1,1.043858387E0
1.627509125E0,-6.984338298E-1,-2.047232443E-1,1.146876971E0
1.637459125E0,-4.627140020E-1,-5.652890384E-1,1.107262670E0
1.647409125E0,-2.418852051E-1,-7.387815182E-1,1.111707138E0
1.657359125E0,6.107160933E-3,-8.388162683E-1,1.096557587E0
1.667309125E0,2.371268507E-1,-7.796753365E-1,9.993739396E-1
1.677259125E0,4.075251667E-1,-6.338507482E-1,7.506345552E-1
1.687209125E0,5.517211226E-1,-4.728192332E-1,3.548815513E-1
1.697159125E0,6.521867394E-1,-3.685745609E-1,-3.114753306E-2
1.707109125E0,6.892192027E-1,-3.277635538E-1,-3.621274209E-1
1.717058125E0,6.578611699E-1,-2.344723609E-1,-5.737042415E-1
1.727008125E0,5.727420091E-1,-6.895634210E-2,-6.548431295E-1
1.736958125E0,4.020554253E-1,9.813858943E-2,-7.412772560E-1
1.746908125E0,1.915000402E-1,3.240627048E-1,-9.144454712E-1
1.756858125E0,1.084219962E-2,5.917053700E-1,-1.136806896E0
1.766808125E0,-9.582431629E-2,8.159782134E-1,-1.395174891E0
1.776758125E0,-1.833084565E-1,1.084029782E0,-1.592584493E0
1.786708125E0,-3.067103615E-1,1.341293968E0,-1.775415816E0
1.796658125E0,-4.208664297E-1,1.458087569E0,-1.849007703E0
1.806608125E0,-5.214229707E-1,1.328838668E0,-1.696128157E0
1.816557125E0,-5.886182959E-1,1.037519713E0,-1.490963978E0
1.826507125E0,-6.425918240E-1,6.387012329E-1,-1.176621172E0
1.836457125E0,-7.381538927E-1,2.949381805E-1,-8.354063183E-1
1.846407125E0,-8.290416972E-1,6.524579041E-2,-6.510839546E-1
1.856357125E0,-9.026125339E-1,-1.256903315E-1,-6.075011480E-1
1.866307125E0,-9.355549429E-1,-1.735243106E-1,-5.947863775E-1
1.876257125E0,-9.312256645E-1,-1.468513045E-1,-6.078630906E-1
1.886207125E0,-8.957045603E-1,-7.031289613E-2,-6.212958992E-1
1.896157125E0,-8.219400345E-1,5.166618937E-2,-4.619604421E-1
1.906107125E0,-6.936951732E-1,1.268106672E-1,-1.478240436E-1
1.916056125E0,-6.013485615E-1,1.267232239E-1,1.341257715E-1
1.926006125E0,-5.397362309E-1,8.271001657E-2,2.179181260E-1
1.935956125E0,-4.711669562E-1,-1.799298805E-2,3.037564212E-1
1.945906125E0,-2.997502745E-1,-9.735266883E-2,3.219757605E-1
1.955856125E0,-1.391527690E-1,-2.744992747E-2,2.048501837E-1
1.965806125E0,3.512210481E-2,1.195786664E-1,2.216094732E-2
1.975756125E0,2.300926137E-1,3.089242635E-1,-1.292065090E-1
1.985706125E0,3.813347203E-1,5.955371600E-1,-1.365400869E-1
1.995656125E0,4.505122516E-1,9.199462393E-1,-1.966067791E-2
2.005606125E0,4.694003662E-1,1.215404584E0,6.046898067E-2
2.015555125E0,4.767772865E-1,1.414293239E0,-2.006881356E-2
2.025505125E0,4.371330182E-1,1.528351805E0,-1.991865706E-1
2.035455125E0,3.387020132E-1,1.591069625E0,-4.721556473E-1
2.045405125E0,2.316233417E-1,1.611456820E0,-8.013819551E-1
2.055355125E0,1.671100612E-1,1.627480383E0,-1.190449837E0
2.065305125E0,4.236855917E-2,1.693646598E0,-1.489033227E0
2.075255125E0,-1.036580504E-1,1.798522405E0,-1.627128088E0
2.085205125E0,-2.336820732E-1,1.886310600E0,-1.651728494E0
2.095155125E0,-3.720670297E-1,1.947803721E0,-1.479384152E0
2.105105125E0,-4.881245394E-1,1.898209976E0,-1.095560637E0
