"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.768804932E1,6.500819510E1,2.560285694E1,2.339934152E1,1.365318833E0,1.783757190E2,4.748651575E0,3.876174934E0
5.868804491E1,6.500818313E1,2.560286208E1,2.329258404E1,1.295928633E0,1.730660603E2,4.748651610E0,4.280848860E0
5.968803990E1,6.500817137E1,2.560286481E1,2.343675518E1,1.358507965E0,1.707056431E2,4.748651602E0,4.108448760E0
6.068803513E1,6.500816420E1,2.560288785E1,2.356290123E1,1.233047703E0,1.494837586E2,4.748651596E0,4.070223814E0
6.168803024E1,6.500815318E1,2.560291121E1,2.329592113E1,1.484935654E0,1.413417627E2,4.748651589E0,3.832019470E0
6.268802512E1,6.500815058E1,2.560294595E1,2.328439795E1,1.361515165E0,1.254681831E2,4.748651578E0,3.770273106E0
6.368802178E1,6.500815463E1,2.560298680E1,2.323058545E1,1.474805064E0,9.683501034E1,4.748651555E0,3.773130933E0
6.468801618E1,6.500815662E1,2.560301564E1,2.340229880E1,1.476593878E0,9.422810785E1,4.748651553E0,3.762960070E0
6.568801260E1,6.500815792E1,2.560304641E1,2.357595318E1,1.431563512E0,9.360900310E1,4.748651559E0,3.973782784E0
6.668800735E1,6.500816009E1,2.560307985E1,2.357886279E1,1.449358571E0,9.173956231E1,4.748651555E0,3.939823148E0
6.768800271E1,6.500816673E1,2.560310570E1,2.369725792E1,1.257870816E0,8.292237057E1,4.748651536E0,3.907690607E0
6.868799901E1,6.500816371E1,2.560313096E1,2.331984837E1,1.327788839E0,9.680436739E1,4.748651559E0,3.639155327E0
6.968799424E1,6.500816939E1,2.560315883E1,2.349319376E1,1.338224054E0,8.273307671E1,4.748651536E0,3.791066691E0
7.068798995E1,6.500816496E1,2.560318841E1,2.227043798E1,1.334841063E0,9.085053241E1,4.748651554E0,3.727126953E0
7.168798506E1,6.500816350E1,2.560322076E1,2.207993334E1,1.486087264E0,9.788350680E1,4.748651555E0,3.471531977E0
7.268798149E1,6.500816647E1,2.560325009E1,2.230370931E1,1.326957440E0,8.698918753E1,4.748651536E0,3.790474850E0
7.368797708E1,6.500816994E1,2.560327858E1,2.249379937E1,1.304743550E0,7.808124542E1,4.748651531E0,3.629015092E0
7.468797207E1,6.500817556E1,2.560330641E1,2.271673909E1,1.337723601E0,7.819104767E1,4.748651514E0,3.829976519E0
7.568796754E1,6.500818101E1,2.560333382E1,2.307230277E1,1.381353774E0,7.819104767E1,4.748651506E0,3.638656694E0
7.668796372E1,6.500818229E1,2.560335970E1,2.307092294E1,1.284629161E0,7.819104767E1,4.748651530E0,3.656792314E0
